COMPANY,SYMBOL,SECTOR,LAST PRICE,CHANGE %,LAST UPDATE
samba,1090,Banks Index,27.2,0.0037,43207
BSFR,1050,Banks Index,30.05,0.0091,43207
ALAWWAL,1040,Banks Index,12.42,0.0065,43207
BJAZ,1020,Banks Index,12.48,-0.0056,43207
RIBL,1010,Banks Index,14.22,0.0143,43207
SABB,1060,Banks Index,31,-0.0058,43207
ARNB,1080,Banks Index,29.75,0.0047,43207
Al Rajhi,1120,Banks Index,81.4,0.0076,43207
SISCO,2190,Transportation Index,14.24,0.0417,43207
SARCO,2030,Energy Index,44.7,-0.0154,43207
Zoujaj,2150,Materials Index,21.06,0.001,43207
NADEC,6010,Food & Beverages Index,37.9,0.0153,43207
GACO,6020,Food & Beverages Index,12.68,0.004,43207
TADCO,6040,Food & Beverages Index,12.18,0.0066,43207
Dur,4010,Consumer Svc Index,21.14,0.0014,43207
Amiantit,2160,Capital Goods Index,8.33,0.0309,43207
ACC,3010,Materials Index,32.65,0.0065,43207
YSCC,3020,Materials Index,16.08,-0.0099,43207
Alujain,2170,Materials Index,24.76,-0.0032,43207
SCC,3030,Materials Index,52.5,-0.0032,43207
QACCO,3040,Materials Index,41,-0.0058,43207
spcc,3050,Materials Index,41.2,-0.0046,43207
YCC,3060,Materials Index,29.7,-0.0047,43207
EPCCO,3080,Materials Index,26.55,-0.0119,43207
TCC,3090,Materials Index,13.7,-0.0044,43207
FIPCO,2180,Materials Index,33.75,-0.0062,43207
SABIC,2010,Materials Index,121.6,0.0118,43207
SAFCO,2020,Materials Index,69.4,0.0012,43207
APC,2200,Materials Index,12.7,0.0024,43207
Zamil Indust,2240,Materials Index,25.95,-0.0335,43207
Nama Chemicals,2210,Materials Index,19.94,-0.0085,43207
Maadaniyah,2220,Materials Index,19.44,-0.0061,43207
NGC,2090,Materials Index,12.22,0.0033,43207
SIIG,2250,Materials Index,23.88,0.0383,43207
Chemical,2230,Health Care Equipment & Svc Index,33.25,-0.0018,43207
Saudi Ceramics,2040,Capital Goods Index,23.48,-0.013,43207
Savola Group,2050,Food & Beverages Index,41.95,0.0002,43207
TASNEE,2060,Materials Index,20.08,0.004,43207
SPIMACO,2070,"Pharma, Biotech & Life Science Index",31.1,0.0091,43207
ADC,2140,Capital Goods Index,11.82,0.0469,43207
SAIC,2120,Diversified Financials Index,13.68,0.0118,43207
SCC,2110,Capital Goods Index,10.16,0.016,43207
WAFRAH,2100,Food & Beverages Index,16.22,0.0043,43207
GASCO,2080,Utilities Index,30.25,-0.0026,43207
SRECO,4020,Real Estate Mgmt & Dev't Index,22.7,0.0198,43207
Bahri,4030,Energy Index,32.3,0.0003,43207
SAPTCO,4040,Transportation Index,16.36,0.0043,43207
SASCO,4050,Retailing Index,17.78,0.0108,43207
Anaam Holding,4061,Food & Staples Retailing Index,12.22,0.0066,43207
TAPRCO,4070,Media Index,45.85,0.0075,43207
